iter	Poisson
0	0.9948989964
1	0.9900655416
2	0.9840904798
3	0.9798064043
4	0.9752321275
5	0.9702477966
6	0.9656856118
7	0.9600772483
8	0.9552710752
9	0.9523269511
10	0.9471887772
11	0.9430709098
12	0.9391474246
13	0.9362985708
14	0.9324209983
15	0.9285126106
16	0.9244480923
17	0.9218312715
18	0.9186245832
19	0.9154440825
20	0.9117238127
21	0.9071274679
22	0.9048972077
23	0.9021239993
24	0.8981275197
25	0.8945769876
26	0.892038803
27	0.8876852909
28	0.8847205768
29	0.881410851
30	0.878878171
31	0.8752375511
32	0.8737367358
33	0.870583438
34	0.8677762564
35	0.8649693558
36	0.8620858143
37	0.8608413152
38	0.8580116809
39	0.8554690311
40	0.8532745508
41	0.8503000271
42	0.8471859545
43	0.8452742105
44	0.8410383821
45	0.8396091545
46	0.8379584275
47	0.8355124455
48	0.8330348883
49	0.8313394285
50	0.82961078
51	0.826552417
52	0.8249138994
53	0.8219527149
54	0.8199000017
55	0.8170123379
56	0.8153933585
57	0.8128798917
58	0.8116978047
59	0.8105563966
60	0.8084558049
61	0.8062414863
62	0.8037773191
63	0.8013749426
64	0.8001123481
65	0.7985664377
66	0.7969327743
67	0.79566989
68	0.7938665053
69	0.7921057162
70	0.789855788
71	0.7883515452
72	0.7874803294
73	0.7860663315
74	0.7841795862
75	0.7827899337
76	0.7813865839
77	0.7802844238
78	0.777531883
79	0.7764969587
80	0.775175817
81	0.7739341338
82	0.772414685
83	0.7713871222
84	0.7693530404
85	0.7681410225
86	0.7652168233
87	0.7628088353
88	0.7617539418
89	0.760337333
90	0.7588453658
91	0.7567249205
92	0.7548155807
93	0.7532361346
94	0.7517372559
95	0.7497714339
96	0.7483792235
97	0.746831257
98	0.7452273216
99	0.7429630591
100	0.74120469
101	0.7395498161
102	0.7387416476
103	0.7366422246
104	0.7356620454
105	0.7345122056
106	0.7329529632
