iter	Passed	Remaining
0	2	2445
1	3	1831
2	5	1678
3	6	1567
4	7	1462
5	8	1419
6	9	1371
7	10	1331
8	11	1300
9	12	1278
10	13	1256
11	15	1248
12	16	1248
13	17	1257
14	19	1287
15	20	1279
16	22	1285
17	23	1271
18	24	1256
19	25	1246
20	26	1237
21	27	1227
22	28	1215
23	29	1206
24	30	1198
25	31	1189
26	32	1182
27	34	1183
28	35	1180
29	36	1176
30	37	1174
31	38	1175
32	39	1170
33	41	1166
34	42	1160
35	43	1156
36	44	1151
37	45	1148
38	46	1144
39	47	1140
40	48	1136
41	49	1133
42	50	1130
43	52	1134
44	53	1134
45	54	1135
46	56	1136
47	57	1135
48	58	1136
49	59	1132
50	60	1130
51	61	1127
52	62	1124
53	64	1121
54	65	1118
55	66	1117
56	67	1116
57	69	1124
58	70	1125
59	71	1123
60	72	1120
61	73	1117
62	74	1114
63	76	1112
64	77	1110
65	78	1107
66	79	1106
67	80	1103
68	81	1100
69	82	1100
70	84	1101
71	85	1099
72	86	1098
73	87	1100
74	89	1099
75	90	1098
76	91	1097
77	92	1094
78	93	1092
79	94	1089
80	95	1086
81	97	1091
82	98	1088
83	99	1087
84	100	1086
85	102	1085
86	103	1085
87	104	1085
88	105	1083
89	106	1080
90	108	1079
91	109	1077
92	110	1075
93	111	1072
94	112	1069
95	113	1066
96	114	1064
97	115	1062
98	116	1061
99	117	1060
100	118	1058
101	120	1058
102	121	1058
103	122	1056
104	124	1060
105	125	1057
106	126	1054
