iter	Passed	Remaining
0	55	83187
1	99	74623
2	211	105469
3	250	93738
4	293	87840
5	342	85313
6	392	83659
7	433	80937
8	474	78681
9	524	78079
10	578	78308
11	641	79497
12	679	77684
13	715	75902
14	756	74940
15	798	74045
16	854	74530
17	902	74286
18	943	73568
19	980	72575
20	1017	71661
21	1069	71826
22	1101	70764
23	1150	70746
24	1187	70041
25	1243	70497
26	1283	70029
27	1334	70177
28	1382	70143
29	1428	69988
30	1463	69355
31	1501	68868
32	1535	68280
33	1569	67678
34	1604	67145
35	1637	66581
36	1672	66120
37	1705	65612
38	1738	65118
39	1783	65085
40	1817	64660
41	1863	64689
42	1904	64537
43	1941	64257
44	1982	64099
45	2019	63841
46	2050	63406
47	2097	63434
48	2148	63611
49	2196	63685
50	2235	63526
51	2269	63193
52	2321	63370
53	2374	63580
54	2409	63312
55	2454	63284
56	2497	63232
57	2546	63303
58	2589	63240
59	2643	63446
60	2684	63316
61	2735	63438
62	2781	63445
63	2823	63362
64	2860	63157
65	2896	62923
66	2931	62695
67	2967	62493
68	3013	62502
69	3053	62377
70	3099	62390
71	3137	62223
72	3175	62075
73	3215	61964
74	3260	61948
75	3307	61973
76	3342	61770
77	3390	61820
78	3440	61891
79	3481	61801
80	3525	61758
81	3563	61630
82	3604	61536
83	3643	61425
84	3678	61239
85	3729	61318
86	3766	61169
87	3807	61096
88	3872	61394
89	3916	61355
90	3965	61404
91	4032	61709
92	4078	61708
93	4117	61583
94	4169	61660
95	4215	61650
96	4259	61604
97	4311	61687
98	4362	61738
99	4408	61714
100	4455	61709
101	4514	61877
102	4555	61783
103	4588	61592
104	4627	61479
105	4667	61377
106	4704	61247
107	4738	61069
108	4775	60937
109	4818	60884
110	4859	60813
111	4898	60710
112	4934	60569
113	4975	60493
114	5017	60424
115	5052	60276
116	5092	60191
117	5138	60184
118	5184	60169
119	5226	60100
120	5269	60050
121	5310	59980
122	5348	59880
123	5389	59801
124	5430	59735
125	5467	59626
126	5508	59549
127	5546	59450
128	5583	59336
129	5619	59224
130	5669	59250
131	5707	59148
132	5743	59034
133	5798	59113
134	5843	59085
135	5886	59037
136	5926	58964
137	5965	58881
138	6004	58794
139	6033	58612
140	6069	58496
141	6106	58398
142	6146	58325
143	6185	58246
144	6224	58170
145	6263	58086
146	6302	58010
147	6341	57927
148	6377	57828
149	6414	57734
150	6450	57623
151	6491	57568
152	6524	57441
153	6558	57322
154	6594	57224
155	6641	57220
156	6675	57103
157	6712	57016
158	6758	56997
159	6806	57003
160	6844	56923
161	6883	56852
162	6918	56744
163	6956	56668
164	6995	56596
165	7037	56555
166	7079	56505
167	7131	56540
168	7173	56498
169	7213	56437
170	7257	56401
171	7289	56283
172	7334	56263
173	7374	56198
174	7414	56135
175	7449	56040
176	7481	55921
177	7521	55862
178	7561	55804
179	7601	55743
180	7633	55626
181	7673	55566
182	7711	55498
183	7752	55449
184	7785	55339
185	7823	55268
186	7866	55231
187	7905	55171
188	7947	55129
189	7983	55044
190	8023	54990
191	8067	54957
192	8107	54906
193	8150	54871
194	8186	54785
195	8227	54739
196	8269	54694
197	8307	54630
198	8344	54553
199	8377	54454
200	8411	54358
201	8445	54268
202	8489	54239
203	8530	54192
204	8566	54115
205	8605	54058
206	8642	53982
207	8680	53918
208	8720	53866
209	8759	53809
210	8798	53748
211	8834	53674
212	8875	53630
213	8919	53598
214	8957	53537
215	8998	53489
216	9039	53445
217	9094	53485
218	9129	53400
219	9186	53450
220	9246	53513
221	9284	53446
222	9323	53391
223	9363	53336
224	9403	53286
225	9445	53243
226	9484	53190
227	9521	53119
228	9561	53066
229	9601	53016
230	9644	52982
231	9679	52903
232	9721	52864
233	9757	52792
234	9794	52722
235	9829	52647
236	9874	52619
237	9910	52552
238	9948	52488
239	9985	52424
240	10024	52368
241	10063	52310
242	10099	52241
243	10135	52171
244	10169	52093
245	10210	52047
246	10256	52032
247	10299	51995
248	10328	51892
249	10371	51856
250	10410	51801
251	10445	51728
252	10487	51692
253	10529	51650
254	10567	51594
255	10606	51541
256	10648	51501
257	10694	51482
258	10737	51450
259	10776	51397
260	10817	51354
261	10857	51305
262	10904	51288
263	10935	51199
264	10975	51152
265	11014	51098
266	11051	51035
267	11084	50957
268	11122	50901
269	11163	50857
270	11207	50825
271	11257	50823
272	11299	50786
273	11339	50735
274	11386	50722
275	11431	50697
276	11469	50639
277	11521	50644
278	11566	50619
279	11604	50562
280	11647	50528
281	11683	50464
282	11719	50397
283	11759	50348
284	11798	50299
285	11844	50277
286	11885	50232
287	11925	50187
288	11968	50150
289	12004	50085
290	12043	50037
291	12080	49978
292	12117	49917
293	12153	49855
294	12194	49811
295	12234	49763
296	12273	49714
297	12309	49650
298	12349	49603
299	12392	49571
300	12430	49515
301	12471	49472
302	12512	49432
303	12555	49394
304	12598	49361
305	12632	49290
306	12673	49250
307	12718	49220
308	12761	49187
309	12803	49147
310	12854	49144
311	12890	49081
312	12930	49038
313	12970	48991
314	13014	48959
315	13070	48971
316	13110	48927
317	13151	48883
318	13188	48825
319	13222	48756
320	13273	48752
321	13349	48836
322	13387	48784
323	13429	48745
324	13464	48677
325	13514	48667
326	13554	48621
327	13597	48587
328	13641	48552
329	13683	48515
330	13725	48475
331	13763	48421
332	13804	48377
333	13842	48325
334	13878	48264
335	13919	48222
336	13967	48201
337	14008	48159
338	14042	48093
339	14101	48111
340	14137	48050
341	14176	48002
342	14227	47992
343	14261	47924
344	14301	47880
345	14347	47852
346	14387	47806
347	14422	47744
348	14472	47730
349	14519	47706
350	14565	47679
351	14605	47632
352	14643	47579
353	14683	47536
354	14727	47501
355	14769	47460
356	14818	47443
357	14887	47491
358	14937	47475
359	14976	47425
360	15029	47420
361	15074	47388
362	15142	47428
363	15179	47374
364	15224	47342
365	15271	47317
366	15310	47266
367	15352	47224
368	15388	47165
369	15434	47136
370	15479	47107
371	15522	47068
372	15559	47013
373	15601	46972
374	15642	46926
375	15688	46898
376	15734	46868
377	15777	46831
378	15825	46807
379	15865	46760
380	15906	46717
381	15947	46674
382	15990	46636
