key,severity,type,component,line,message,status,author,creationDate
77aaf0cd-4c62-40e2-b598-57c54b46be3b,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:backend/src/services/v3/simulationService.js,113,"Extract this nested ternary operation into an independent statement.",OPEN,parsisdominique@gmail.com,2026-03-08T19:34:27+0100
e9b4aabe-bda9-475d-9dda-4fb389e44f20,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:backend/src/services/v3/simulationService.js,125,"Take the required action to fix the issue indicated by this comment.",OPEN,parsisdominique@gmail.com,2026-03-08T19:34:27+0100
2a47efd3-1e4d-4f08-ba8d-6bf26ba9f744,CRITICAL,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/ClubProfile/Tabs/MatchesTab.jsx,7,"Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.",OPEN,parsisdominique@gmail.com,2026-03-08T19:34:27+0100
68ab39a1-ffdf-464d-8ea3-21847252219b,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/ClubProfile/Tabs/MatchesTab.jsx,25,"Use <input type=""button"">, <input type=""image"">, <input type=""reset"">, <input type=""submit"">, or <button> instead of the ""button"" role to ensure accessibility across all devices.",OPEN,parsisdominique@gmail.com,2026-03-08T19:34:27+0100
72d6b40b-aee5-4f6a-a713-2f324dd609b2,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/ClubProfile/Tabs/MatchesTab.jsx,36,"Unexpected negated condition.",OPEN,parsisdominique@gmail.com,2026-03-08T19:34:27+0100
7d991c91-c928-4d9e-8e19-65e789ad3f4d,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/studio/StudioWizard.jsx,29,"Use <input type=""button"">, <input type=""image"">, <input type=""reset"">, <input type=""submit"">, or <button> instead of the ""button"" role to ensure accessibility across all devices.",OPEN,parsisdominique@gmail.com,2026-03-08T19:34:27+0100
9c348ff7-8b63-4f87-952e-8213c6baa624,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/studio/StudioWizard.jsx,40,"Use <input type=""button"">, <input type=""image"">, <input type=""reset"">, <input type=""submit"">, or <button> instead of the ""button"" role to ensure accessibility across all devices.",OPEN,parsisdominique@gmail.com,2026-03-08T19:34:27+0100
41d65ff3-b201-46bb-af10-e2976f9e4ac5,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/studio/StudioWizard.jsx,51,"Use <input type=""button"">, <input type=""image"">, <input type=""reset"">, <input type=""submit"">, or <button> instead of the ""button"" role to ensure accessibility across all devices.",OPEN,parsisdominique@gmail.com,2026-03-08T19:34:27+0100
57ba693b-167d-4a09-b5d6-288a1ead5477,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/studio/StudioWizard.jsx,62,"Use <input type=""button"">, <input type=""image"">, <input type=""reset"">, <input type=""submit"">, or <button> instead of the ""button"" role to ensure accessibility across all devices.",OPEN,parsisdominique@gmail.com,2026-03-08T19:34:27+0100
4d43e9ff-bac7-4dc4-9ecb-646ebd956d94,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/studio/charts/BarChartRace.jsx,109,"'data.length' is missing in props validation",OPEN,parsisdominique@gmail.com,2026-03-08T19:34:27+0100
1eb6693d-4a30-4503-8806-a8ac5d074cf5,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/studio/charts/LineChartRace.jsx,380,"Extract this nested ternary operation into an independent statement.",OPEN,parsisdominique@gmail.com,2026-03-08T19:34:27+0100
5a67c288-6d50-4f67-9870-c2f12bf3b4af,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/studio/charts/LineChartRace.jsx,430,"Unexpected negated condition.",OPEN,parsisdominique@gmail.com,2026-03-08T19:34:27+0100
