key,severity,type,component,line,message
faac5e44-4d01-427f-b4dc-273c7c9df2ed,MINOR,CODE_SMELL,backend_ml_v2:backend/src/services/v3/MigrationService.js,49,"`applied` should be a `Set`, and use `applied.has()` to check existence or non-existence."
44d5f203-b002-4776-8fd3-4ab049c641f7,MINOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/studio/ChartCanvas.jsx,31,"`currentTop` should be a `Set`, and use `currentTop.has()` to check existence or non-existence."
cf0835dd-d9f6-4e4b-85e1-2a80ed8e792e,MINOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/pages/league/V3LeaguesList.jsx,18,"`FEATURED_IDS` should be a `Set`, and use `FEATURED_IDS.has()` to check existence or non-existence."
f7631cd4-ffb6-4115-a3cd-4cda0448ae12,MINOR,CODE_SMELL,backend_ml_v2:backend/src/scripts/fetch_historical_odds.js,16,"`PREFERRED_BOOKMAKERS` should be a `Set`, and use `PREFERRED_BOOKMAKERS.has()` to check existence or non-existence."
6c333d67-31ea-4ec6-b9c4-220a6303037a,MINOR,CODE_SMELL,backend_ml_v2:backend/src/utils/v3Helpers.js,80,"`PREFERRED_IDS` should be a `Set`, and use `PREFERRED_IDS.has()` to check existence or non-existence."
2909209f-ef21-45f8-a978-bab9428a7027,MINOR,CODE_SMELL,backend_ml_v2:backend/src/services/v3/bulkOddsService.js,11,"`TARGET_BET_IDS` should be a `Set`, and use `TARGET_BET_IDS.has()` to check existence or non-existence."
9e3712d4-fe60-4d37-bbe6-c905c305f9ba,MINOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/pages/match/live/LiveBetDashboard.jsx,147,"`TIER_1_IDS` should be a `Set`, and use `TIER_1_IDS.has()` to check existence or non-existence."
3371c8ad-ad3d-4882-bc17-983bbd19e1fb,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/import/LeagueSelector.jsx,16,A form label must be associated with a control.
2cd63fc2-79bd-4f10-8f50-2348be369178,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/import/LeagueSelector.jsx,42,A form label must be associated with a control.
c92f4d9e-c7ab-4b66-972a-1b5d62c2c455,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/import/SeasonSelector.jsx,21,A form label must be associated with a control.
fb0c793e-dc54-48eb-8598-8c5579dabe9e,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/import/SeasonSelector.jsx,41,A form label must be associated with a control.
246dcc5c-6ea8-4641-abb1-e18eab1ae070,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/import/SeasonSelector.jsx,63,A form label must be associated with a control.
ba25c8d5-e36b-445a-a871-adf99b66d273,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/match/MatchDetailPlayerVisuals.jsx,135,A form label must be associated with a control.
74489218-e2a0-4fea-bf78-4816b97a384a,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/match/MatchDetailPlayerVisuals.jsx,139,A form label must be associated with a control.
3a3d8877-4fd8-4b6c-8589-e0e6b0d81b06,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/match/MatchDetailPlayerVisuals.jsx,143,A form label must be associated with a control.
070ac669-7d30-415e-a235-ca9e9c92631c,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/match/MatchDetailPlayerVisuals.jsx,147,A form label must be associated with a control.
c3ddd90e-8346-41a2-9cc4-3b29d476e704,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/match/MatchDetailPlayerVisuals.jsx,151,A form label must be associated with a control.
e97dc485-fa2a-44f8-80d4-630054edcb56,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/match/MatchDetailPlayerVisuals.jsx,155,A form label must be associated with a control.
a157ccfa-dec2-49b0-becb-830157ff550f,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/shared/InlinePlayerStatCard.jsx,99,A form label must be associated with a control.
51b83aa7-daca-42f7-b3d8-6fa1c0ccef85,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/shared/InlinePlayerStatCard.jsx,103,A form label must be associated with a control.
e979626e-4785-4ae7-a482-abf5e61125a7,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/shared/InlinePlayerStatCard.jsx,107,A form label must be associated with a control.
bc284140-391f-406d-a842-8d63569444cc,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/shared/InlinePlayerStatCard.jsx,111,A form label must be associated with a control.
50535123-3714-4bee-829a-83e59cfb4763,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/studio/Step1_Data.jsx,300,A form label must be associated with a control.
7d5d9bd6-9c11-4a6d-9385-1c802088a7ad,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/studio/Step2_Config.jsx,23,A form label must be associated with a control.
88ec65c9-d75e-46c8-b57d-4f82b08b90f6,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/studio/Step2_Config.jsx,70,A form label must be associated with a control.
61226ba9-4c9d-4d81-a3d8-e9b1bf69431d,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/studio/Step2_Config.jsx,111,A form label must be associated with a control.
a766e3bb-ab1d-4760-a7f0-d55aa726a2ce,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/modules/studio/Step2_Config.jsx,83,A form label must be associated with a control.
74026a99-c14b-4fe8-8136-5633d4c79179,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/pages/league/SeasonOverviewPage.jsx,208,A form label must be associated with a control.
580557d1-f1a8-4b7c-b331-62828308ed65,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/pages/match/live/MatchdayVisualizer.jsx,75,A form label must be associated with a control.
386f3678-6fea-49eb-a508-2e57b2f04fce,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/pages/match/live/MatchdayVisualizer.jsx,87,A form label must be associated with a control.
821cad72-0ea2-4cdb-be3a-389b8e9a65be,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/pages/profile/ClubProfilePageV3.jsx,160,A form label must be associated with a control.
7438ca2a-7184-4b3d-b342-663e521775e2,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/pages/profile/ClubProfilePageV3.jsx,152,A form label must be associated with a control.
c5656e67-28df-4a2a-bf85-435abc2c6ec3,MAJOR,CODE_SMELL,frontend_only_v2:frontend/src/components/v3/pages/match/live/MonitoringConsole.jsx,205,A form label must have accessible text.
2201dd7c-71a2-44ef-8280-e81b607524df,CRITICAL,CODE_SMELL,backend_ml_v2:ml-service/analytics.py,20,"Add a nested comment explaining why this method is empty, or complete the implementation."
cef0a719-27ae-4827-96e4-5c276a496d48,MAJOR,CODE_SMELL,backend_ml_v2:ml-service/bulk_forge_backfill.py,54,"Add a parameter to the parent lambda function and use variable ""w"" as its default value; The value of ""w"" might change at the next loop iteration."
2210cfeb-6780-4191-9a6e-0fb9dfb93ac6,MAJOR,CODE_SMELL,backend_ml_v2:ml-service/bulk_forge_backfill.py,55,"Add a parameter to the parent lambda function and use variable ""w"" as its default value; The value of ""w"" might change at the next loop iteration."
86340d5f-aa09-48aa-a6fa-2e3b97b842cb,MAJOR,CODE_SMELL,backend_ml_v2:ml-service/features.py,50,"Add a parameter to the parent lambda function and use variable ""w"" as its default value; The value of ""w"" might change at the next loop iteration."
b919da54-4f36-47ea-b113-009a6180cd9a,MAJOR,CODE_SMELL,backend_ml_v2:ml-service/features.py,54,"Add a parameter to the parent lambda function and use variable ""w"" as its default value; The value of ""w"" might change at the next loop iteration."
